FileKey,Component_,File_,DestName,DestFolder
Autofac.dll,SchneiderElectric.MES.HealthCheck.Core.dll,Autofac.dll,,HealthManagement.BinFolder
ICSharpCode.SharpZipLib.dll,SchneiderElectric.MES.HealthCheck.Core.dll,ICSharpCode.SharpZipLib.dll,,HealthManagement.BinFolder
Autofac.Integration.Wcf.dll,SchneiderElectric.MES.HealthCheck.Core.dll,Autofac.Integration.Wcf.dll,,HealthManagement.BinFolder
Autofac.Integration.Web.dll,SchneiderElectric.MES.HealthCheck.Core.dll,Autofac.Integration.Web.dll,,HealthManagement.BinFolder
CommandLine.dll,SchneiderElectric.MES.HealthCheck.Core.dll,CommandLine.dll,,HealthManagement.BinFolder
log4net.dll,SchneiderElectric.MES.HealthCheck.Core.dll,log4net.dll,,HealthManagement.BinFolder
SchneiderElectric.MES.HealthCheck.UsageProfile.Core.dll,SchneiderElectric.MES.HealthCheck.CustomInstaller.dll,SchneiderElectric.MES.HealthCheck.UsageProfile.Core.dll,,APPLICATIONFOLDER
SchneiderElectric.MES.HealthCheck.UsageProfile.Recorders_V200908.dll,SchneiderElectric.MES.HealthCheck.CustomInstaller.dll,SchneiderElectric.MES.HealthCheck.UsageProfile.Recorders_V200908.dll,,APPLICATIONFOLDER
SchneiderElectric.MES.HealthCheck.UsageProfile.WCF.dll,SchneiderElectric.MES.HealthCheck.CustomInstaller.dll,SchneiderElectric.MES.HealthCheck.UsageProfile.WCF.dll,,APPLICATIONFOLDER
Diagnostics.Citect.Common,Citect.Ampla.Web.Shared.dll,Citect.Common.dll,,Diagnostics.BinFolder
Diagnostics.Microsoft.Practices.EnterpriseLibrary.Common,Citect.Ampla.Web.Shared.dll,Microsoft.Practices.EnterpriseLibrary.Common.dll,,Diagnostics.BinFolder
Diagnostics.Microsoft.Practices.EnterpriseLibrary.Data,Citect.Ampla.Web.Shared.dll,Microsoft.Practices.EnterpriseLibrary.Data.dll,,Diagnostics.BinFolder
Diagnostics.Microsoft.Practices.ObjectBuilder,Citect.Ampla.Web.Shared.dll,Microsoft.Practices.ObjectBuilder.dll,,Diagnostics.BinFolder
CopyControls,Web.Global.asax,Citect.Ampla.Controls.dll,,WebPortal.Root
CopySHDocVw,Web.Global.asax,Interop.SHDocVw.dll,,WebPortal.Root
CopyCitectCommon,Web.SchneiderElectric.Ampla.Web.dll,Citect.Common.dll,,WebPortal.BinFolder
HealthManagement.Citect.Common,SchneiderElectric.MES.HealthCheck.Core.dll,Citect.Common.dll,,HealthManagement.BinFolder
