Dialog_,Control_,Event,Attribute
PrepareDlg,ActionText,ActionText,Text
PrepareDlg,ActionData,ActionData,Text
ProgressDlg,ActionText,ActionText,Text
ProgressDlg,ProgressBar,SetProgress,Progress
CustomizeDlg,Next,SelectionNoItems,Enabled
CustomizeDlg,Reset,SelectionNoItems,Enabled
CustomizeDlg,DiskCost,SelectionNoItems,Enabled
CustomizeDlg,ItemDescription,SelectionDescription,Text
CustomizeDlg,ItemSize,SelectionSize,Text
CustomizeDlg,Location,SelectionPath,Text
CustomizeDlg,Location,SelectionPathOn,Visible
CustomizeDlg,LocationLabel,SelectionPathOn,Visible
BrowseDlg,DirectoryCombo,IgnoreChange,IgnoreChange
