ProgId,ProgId_Parent,Class_,Description,Icon_,IconIndex
DataDynamics.ActiveReports.Design.UnitConverter,,{74928157-6BED-3A74-8C79-5656835B9961},DataDynamics.ActiveReports.Design.UnitConverter,,0
DataDynamics.ActiveReports.Design.InternalC.OutputFormatValue,,{90C7722A-BDE7-3A43-A880-9D121B4677BB},DataDynamics.ActiveReports.Design.InternalC.OutputFormatValue,,0
DataDynamics.ActiveReports.Design.ReportExplorer,,{A671EDC7-206A-4DAE-8490-A6CF0212B413},DataDynamics.ActiveReports.Design.ReportExplorer,,0
DataDynamics.ActiveReports.Design.Designer,,{48C10133-0788-43B2-88EC-0892348BE50A},DataDynamics.ActiveReports.Design.Designer,,0
DataDynamics.ActiveReports.ParamQuery,,{B6015805-36B4-39C1-B0A5-DEED49B40EC0},DataDynamics.ActiveReports.ParamQuery,,0
DataDynamics.ActiveReports.InternalC.DDLp2,,{FAB76F31-E1A4-36B5-942C-8B3FA9D28774},DataDynamics.ActiveReports.InternalC.DDLp2,,0
DataDynamics.ActiveReports.Design.UndoManager,,{34EA82B5-2D72-33B9-9DCB-220916AD751B},DataDynamics.ActiveReports.Design.UndoManager,,0
DataDynamics.ActiveReports.Design.InternalC.ModifiersConverter,,{9A1B4585-91C8-32FB-90E9-570D5A763E4C},DataDynamics.ActiveReports.Design.InternalC.ModifiersConverter,,0
DataDynamics.ActiveReports.Design.InternalC.OutputFormatTypeEditor,,{97430C95-D8C5-3669-AE41-27327738197E},DataDynamics.ActiveReports.Design.InternalC.OutputFormatTypeEditor,,0
DataDynamics.ActiveReports.Design.InternalC.ModifierValue,,{569BD043-987F-3D0E-80E1-45D619D64DF5},DataDynamics.ActiveReports.Design.InternalC.ModifierValue,,0
DataDynamics.ActiveReports.Design.ContextMenuTypes,,{74DA6A45-0D8A-388D-AEFB-448A23E386F4},DataDynamics.ActiveReports.Design.ContextMenuTypes,,0
DataDynamics.ActiveReports.Design.DesignerAction,,{42DF44A9-5BF7-33B3-93CF-5ABFDB492FD0},DataDynamics.ActiveReports.Design.DesignerAction,,0
DataDynamics.ActiveReports.Design.LayoutChangeType,,{A29D1C56-2827-36FA-938C-32D6FDE59B5F},DataDynamics.ActiveReports.Design.LayoutChangeType,,0
DataDynamics.ActiveReports.Design.MeasurementUnits,,{AFBB8176-69C7-4445-B29D-0F16D8E9BE62},DataDynamics.ActiveReports.Design.MeasurementUnits,,0
